Edad simple;Sexo;Periodo;Total
0 años;Total;1 de enero de 1985;469.612
0 años;Total;1 de octubre de 1984;""
0 años;Total;1 de julio de 1984;476.620
0 años;Total;1 de abril de 1984;""
0 años;Total;1 de enero de 1984;480.918
0 años;Total;1 de octubre de 1983;""
0 años;Total;1 de julio de 1983;496.183
0 años;Total;1 de abril de 1983;""
0 años;Total;1 de enero de 1983;511.235
0 años;Total;1 de octubre de 1982;""
0 años;Total;1 de julio de 1982;531.486
0 años;Total;1 de abril de 1982;""
0 años;Total;1 de enero de 1982;549.898
0 años;Total;1 de octubre de 1981;""
0 años;Total;1 de julio de 1981;574.934
0 años;Total;1 de abril de 1981;""
0 años;Total;1 de enero de 1981;569.802
0 años;Total;1 de octubre de 1980;""
0 años;Total;1 de julio de 1980;582.436
0 años;Total;1 de abril de 1980;""
0 años;Total;1 de enero de 1980;592.227
0 años;Total;1 de octubre de 1979;""
0 años;Total;1 de julio de 1979;614.763
0 años;Total;1 de abril de 1979;""
0 años;Total;1 de enero de 1979;625.320
0 años;Total;1 de octubre de 1978;""
0 años;Total;1 de julio de 1978;641.933
0 años;Total;1 de abril de 1978;""
0 años;Total;1 de enero de 1978;644.379
0 años;Total;1 de octubre de 1977;""
0 años;Total;1 de julio de 1977;658.800
0 años;Total;1 de abril de 1977;""
0 años;Total;1 de enero de 1977;665.373
0 años;Total;1 de octubre de 1976;""
0 años;Total;1 de julio de 1976;662.526
0 años;Total;1 de abril de 1976;""
0 años;Total;1 de enero de 1976;659.696
0 años;Total;1 de octubre de 1975;""
0 años;Total;1 de julio de 1975;668.420
0 años;Total;1 de abril de 1975;""
0 años;Total;1 de enero de 1975;679.664
0 años;Total;1 de octubre de 1974;""
0 años;Total;1 de julio de 1974;663.447
0 años;Total;1 de abril de 1974;""
0 años;Total;1 de enero de 1974;666.113
0 años;Total;1 de octubre de 1973;""
0 años;Total;1 de julio de 1973;667.002
0 años;Total;1 de abril de 1973;""
0 años;Total;1 de enero de 1973;666.068
0 años;Total;1 de octubre de 1972;""
0 años;Total;1 de julio de 1972;663.479
0 años;Total;1 de abril de 1972;""
0 años;Total;1 de enero de 1972;663.793
0 años;Total;1 de octubre de 1971;""
0 años;Total;1 de julio de 1971;651.607
0 años;Total;1 de abril de 1971;""
0 años;Total;1 de enero de 1971;647.443
1 año;Total;1 de enero de 2024;338.464
1 año;Total;1 de octubre de 2023;342.391
1 año;Total;1 de julio de 2023;346.672
1 año;Total;1 de abril de 2023;349.640
1 año;Total;1 de enero de 2023;346.953
1 año;Total;1 de octubre de 2022;338.712
1 año;Total;1 de julio de 2022;336.250
1 año;Total;1 de abril de 2022;335.367
1 año;Total;1 de enero de 2022;346.269
1 año;Total;1 de octubre de 2021;354.558
1 año;Total;1 de julio de 2021;356.453
1 año;Total;1 de abril de 2021;359.291
1 año;Total;1 de enero de 2021;365.236
1 año;Total;1 de octubre de 2020;""
1 año;Total;1 de julio de 2020;369.188
1 año;Total;1 de abril de 2020;""
1 año;Total;1 de enero de 2020;374.063
1 año;Total;1 de octubre de 2019;""
1 año;Total;1 de julio de 2019;385.211
1 año;Total;1 de abril de 2019;""
1 año;Total;1 de enero de 2019;396.241
1 año;Total;1 de octubre de 2018;""
1 año;Total;1 de julio de 2018;404.499
1 año;Total;1 de abril de 2018;""
1 año;Total;1 de enero de 2018;413.253
1 año;Total;1 de octubre de 2017;""
1 año;Total;1 de julio de 2017;416.688
1 año;Total;1 de abril de 2017;""
1 año;Total;1 de enero de 2017;420.930
1 año;Total;1 de octubre de 2016;""
1 año;Total;1 de julio de 2016;423.498
1 año;Total;1 de abril de 2016;""
1 año;Total;1 de enero de 2016;427.184
1 año;Total;1 de octubre de 2015;""
1 año;Total;1 de julio de 2015;425.286
1 año;Total;1 de abril de 2015;""
1 año;Total;1 de enero de 2015;424.800
1 año;Total;1 de octubre de 2014;""
1 año;Total;1 de julio de 2014;437.524
1 año;Total;1 de abril de 2014;""
1 año;Total;1 de enero de 2014;451.484
1 año;Total;1 de octubre de 2013;""
1 año;Total;1 de julio de 2013;462.412
1 año;Total;1 de abril de 2013;""
1 año;Total;1 de enero de 2013;474.677
1 año;Total;1 de octubre de 2012;""
1 año;Total;1 de julio de 2012;478.756
1 año;Total;1 de abril de 2012;""
1 año;Total;1 de enero de 2012;483.549
1 año;Total;1 de octubre de 2011;""
1 año;Total;1 de julio de 2011;489.165
1 año;Total;1 de abril de 2011;""
1 año;Total;1 de enero de 2011;494.927
1 año;Total;1 de octubre de 2010;""
1 año;Total;1 de julio de 2010;507.760
1 año;Total;1 de abril de 2010;""
1 año;Total;1 de enero de 2010;520.785
1 año;Total;1 de octubre de 2009;""
1 año;Total;1 de julio de 2009;509.792
1 año;Total;1 de abril de 2009;""
1 año;Total;1 de enero de 2009;498.194
1 año;Total;1 de octubre de 2008;""
1 año;Total;1 de julio de 2008;494.392
