Comunidad,Año,Total
"15 Navarra, Comunidad Foral de",2018,"30,65"
"15 Navarra, Comunidad Foral de",2019,"30,78"
"15 Navarra, Comunidad Foral de",2020,"30,96"
"15 Navarra, Comunidad Foral de",2021,"31,19"
"15 Navarra, Comunidad Foral de",2022,"31,77"
"15 Navarra, Comunidad Foral de",2023,"32,04"
"15 Navarra, Comunidad Foral de",2024,"32,46"
16 País Vasco,1975,"13,36"
16 País Vasco,1976,"13,57"
16 País Vasco,1977,"13,74"
16 País Vasco,1978,"13,92"
16 País Vasco,1979,"14,13"
16 País Vasco,1980,"14,32"
16 País Vasco,1981,"14,45"
16 País Vasco,1982,"14,63"
16 País Vasco,1983,"14,88"
16 País Vasco,1984,"15,12"
16 País Vasco,1985,"15,36"
16 País Vasco,1986,"15,76"
16 País Vasco,1987,"16,20"
16 País Vasco,1988,"16,70"
16 País Vasco,1989,"17,20"
16 País Vasco,1990,"17,78"
16 País Vasco,1991,"18,33"
16 País Vasco,1992,"18,92"
16 País Vasco,1993,"19,48"
16 País Vasco,1994,"20,14"
16 País Vasco,1995,"20,78"
16 País Vasco,1996,"21,51"
16 País Vasco,1997,"22,23"
16 País Vasco,1998,"23,04"
16 País Vasco,1999,"23,81"
16 País Vasco,2000,"24,52"
16 País Vasco,2001,"25,21"
16 País Vasco,2002,"25,94"
16 País Vasco,2003,"26,25"
16 País Vasco,2004,"26,35"
16 País Vasco,2005,"26,34"
16 País Vasco,2006,"26,75"
16 País Vasco,2007,"27,00"
16 País Vasco,2008,"27,23"
16 País Vasco,2009,"27,79"
16 País Vasco,2010,"28,54"
16 País Vasco,2011,"29,45"
16 País Vasco,2012,"30,34"
16 País Vasco,2013,"31,26"
16 País Vasco,2014,"32,44"
16 País Vasco,2015,"33,35"
16 País Vasco,2016,"34,01"
16 País Vasco,2017,"34,54"
16 País Vasco,2018,"35,12"
16 País Vasco,2019,"35,56"
16 País Vasco,2020,"35,86"
16 País Vasco,2021,"36,27"
16 País Vasco,2022,"37,02"
16 País Vasco,2023,"37,44"
16 País Vasco,2024,"38,01"
"17 Rioja, La",1975,"18,99"
"17 Rioja, La",1976,"19,34"
"17 Rioja, La",1977,"19,45"
"17 Rioja, La",1978,"19,51"
"17 Rioja, La",1979,"19,76"
"17 Rioja, La",1980,"20,04"
"17 Rioja, La",1981,"20,31"
"17 Rioja, La",1982,"20,56"
"17 Rioja, La",1983,"20,71"
"17 Rioja, La",1984,"21,08"
"17 Rioja, La",1985,"21,41"
"17 Rioja, La",1986,"21,94"
"17 Rioja, La",1987,"22,64"
"17 Rioja, La",1988,"23,31"
"17 Rioja, La",1989,"24,03"
"17 Rioja, La",1990,"24,75"
"17 Rioja, La",1991,"25,40"
"17 Rioja, La",1992,"25,83"
"17 Rioja, La",1993,"26,18"
"17 Rioja, La",1994,"26,48"
"17 Rioja, La",1995,"26,76"
"17 Rioja, La",1996,"27,21"
"17 Rioja, La",1997,"27,50"
"17 Rioja, La",1998,"27,99"
"17 Rioja, La",1999,"28,41"
"17 Rioja, La",2000,"28,74"
"17 Rioja, La",2001,"29,12"
"17 Rioja, La",2002,"29,42"
"17 Rioja, La",2003,"28,84"
"17 Rioja, La",2004,"28,09"
"17 Rioja, La",2005,"27,26"
"17 Rioja, La",2006,"27,25"
"17 Rioja, La",2007,"27,07"
"17 Rioja, La",2008,"26,61"
"17 Rioja, La",2009,"26,85"
"17 Rioja, La",2010,"27,43"
"17 Rioja, La",2011,"28,00"
"17 Rioja, La",2012,"28,52"
"17 Rioja, La",2013,"29,26"
"17 Rioja, La",2014,"30,29"
"17 Rioja, La",2015,"31,06"
"17 Rioja, La",2016,"31,54"
"17 Rioja, La",2017,"32,07"
"17 Rioja, La",2018,"32,57"
"17 Rioja, La",2019,"32,95"
"17 Rioja, La",2020,"33,18"
"17 Rioja, La",2021,"33,39"
"17 Rioja, La",2022,"33,94"
"17 Rioja, La",2023,"34,32"
"17 Rioja, La",2024,"34,87"
18 Ceuta,1975,"12,35"
18 Ceuta,1976,"12,99"
18 Ceuta,1977,"13,08"
18 Ceuta,1978,"13,30"
18 Ceuta,1979,"13,33"
18 Ceuta,1980,"13,55"
18 Ceuta,1981,"13,48"
18 Ceuta,1982,"13,58"
18 Ceuta,1983,"13,45"
18 Ceuta,1984,"13,56"
18 Ceuta,1985,"13,72"
18 Ceuta,1986,"14,00"
18 Ceuta,1987,"14,14"
18 Ceuta,1988,"14,28"
18 Ceuta,1989,"14,45"
18 Ceuta,1990,"14,56"
18 Ceuta,1991,"14,77"
18 Ceuta,1992,"14,96"
18 Ceuta,1993,"14,91"
18 Ceuta,1994,"15,17"
18 Ceuta,1995,"15,27"
18 Ceuta,1996,"15,57"
18 Ceuta,1997,"15,67"
18 Ceuta,1998,"15,79"
18 Ceuta,1999,"15,81"
18 Ceuta,2000,"15,93"
18 Ceuta,2001,"16,06"
18 Ceuta,2002,"16,41"
18 Ceuta,2003,"16,49"
18 Ceuta,2004,"16,61"
18 Ceuta,2005,"16,77"
18 Ceuta,2006,"16,94"
18 Ceuta,2007,"16,93"
18 Ceuta,2008,"16,88"
18 Ceuta,2009,"16,83"
18 Ceuta,2010,"16,45"
18 Ceuta,2011,"16,31"
18 Ceuta,2012,"16,17"
18 Ceuta,2013,"16,19"
18 Ceuta,2014,"16,30"
18 Ceuta,2015,"16,48"
18 Ceuta,2016,"16,80"
18 Ceuta,2017,"16,92"
18 Ceuta,2018,"17,23"
18 Ceuta,2019,"17,59"
18 Ceuta,2020,"18,06"
18 Ceuta,2021,"18,41"
18 Ceuta,2022,"18,62"
18 Ceuta,2023,"18,99"
18 Ceuta,2024,"19,55"
19 Melilla,1975,"14,13"
19 Melilla,1976,"14,33"
19 Melilla,1977,"14,56"
19 Melilla,1978,"14,67"
19 Melilla,1979,"14,42"
19 Melilla,1980,"14,11"
19 Melilla,1981,"14,06"
19 Melilla,1982,"14,09"
19 Melilla,1983,"14,02"
19 Melilla,1984,"14,13"
19 Melilla,1985,"14,04"
19 Melilla,1986,"14,17"
19 Melilla,1987,"14,34"
19 Melilla,1988,"14,49"
19 Melilla,1989,"14,57"
19 Melilla,1990,"14,67"
19 Melilla,1991,"14,94"
19 Melilla,1992,"15,32"
19 Melilla,1993,"15,61"
19 Melilla,1994,"15,69"
19 Melilla,1995,"15,70"
19 Melilla,1996,"15,99"
19 Melilla,1997,"15,81"
19 Melilla,1998,"15,88"
19 Melilla,1999,"15,75"
19 Melilla,2000,"15,76"
19 Melilla,2001,"15,73"
19 Melilla,2002,"16,10"
19 Melilla,2003,"16,44"
19 Melilla,2004,"16,53"
19 Melilla,2005,"16,44"
19 Melilla,2006,"16,48"
19 Melilla,2007,"16,15"
19 Melilla,2008,"15,91"
19 Melilla,2009,"15,82"
19 Melilla,2010,"15,58"
19 Melilla,2011,"15,29"
19 Melilla,2012,"14,89"
19 Melilla,2013,"14,73"
19 Melilla,2014,"14,83"
19 Melilla,2015,"14,88"
19 Melilla,2016,"15,00"
19 Melilla,2017,"15,19"
19 Melilla,2018,"15,51"
19 Melilla,2019,"15,76"
19 Melilla,2020,"16,18"
19 Melilla,2021,"16,46"
19 Melilla,2022,"16,99"
19 Melilla,2023,"17,69"
19 Melilla,2024,"18,48"
Total Nacional,1975,"16,82"
Total Nacional,1976,"17,15"
Total Nacional,1977,"17,36"
Total Nacional,1978,"17,65"
Total Nacional,1979,"17,89"
Total Nacional,1980,"18,14"
Total Nacional,1981,"18,34"
Total Nacional,1982,"18,46"
Total Nacional,1983,"18,57"
Total Nacional,1984,"18,69"
Total Nacional,1985,"18,81"
Total Nacional,1986,"19,11"
Total Nacional,1987,"19,47"
Total Nacional,1988,"19,93"
Total Nacional,1989,"20,34"
Total Nacional,1990,"20,76"
Total Nacional,1991,"21,16"
Total Nacional,1992,"21,49"
Total Nacional,1993,"21,78"
Total Nacional,1994,"22,13"
Total Nacional,1995,"22,48"
Total Nacional,1996,"22,91"
Total Nacional,1997,"23,28"
Total Nacional,1998,"23,74"
Total Nacional,1999,"24,17"
Total Nacional,2000,"24,51"
Total Nacional,2001,"24,89"
Total Nacional,2002,"25,24"
Total Nacional,2003,"25,12"
Total Nacional,2004,"24,82"
Total Nacional,2005,"24,37"
Total Nacional,2006,"24,52"
Total Nacional,2007,"24,36"
Total Nacional,2008,"24,19"
Total Nacional,2009,"24,46"
Total Nacional,2010,"24,94"
Total Nacional,2011,"25,55"
Total Nacional,2012,"26,06"
Total Nacional,2013,"26,67"
Total Nacional,2014,"27,53"
Total Nacional,2015,"28,18"
Total Nacional,2016,"28,59"
Total Nacional,2017,"29,00"
Total Nacional,2018,"29,41"
Total Nacional,2019,"29,70"
Total Nacional,2020,"29,92"
Total Nacional,2021,"30,15"
Total Nacional,2022,"30,68"
Total Nacional,2023,"30,91"
Total Nacional,2024,"31,30"
