Total,Año,Edad
659120,1975,8
660842,1975,9
675277,1975,10
663043,1975,11
641250,1975,12
625644,1975,13
630956,1975,14
618969,1975,15
606268,1975,16
597896,1975,17
572723,1975,18
550216,1975,19
535299,1975,20
529542,1975,21
535725,1975,22
516024,1975,23
502409,1975,24
507105,1975,25
539061,1975,26
515529,1975,27
480936,1975,28
501860,1975,29
487742,1975,30
472130,1975,31
441453,1975,32
395300,1975,33
486013,1975,34
402690,1975,35
369586,1975,36
420746,1975,37
479613,1975,38
473135,1975,39
466592,1975,40
490842,1975,41
490083,1975,42
478947,1975,43
495805,1975,44
474840,1975,45
466290,1975,46
453265,1975,47
446459,1975,48
440282,1975,49
430693,1975,50
422188,1975,51
424888,1975,52
409006,1975,53
391312,1975,54
356768,1975,55
334166,1975,56
324942,1975,57
314216,1975,58
320087,1975,59
320589,1975,60
315669,1975,61
315600,1975,62
306289,1975,63
313504,1975,64
297008,1975,65
283467,1975,66
274053,1975,67
260898,1975,68
259403,1975,69
242361,1975,70
226986,1975,71
216394,1975,72
196237,1975,73
203849,1975,74
167403,1975,75
141852,1975,76
129164,1975,77
125489,1975,78
112116,1975,79
95631,1975,80
81626,1975,81
74542,1975,82
60280,1975,83
58484,1975,84
662526,1976,0
675750,1976,1
666423,1976,2
659916,1976,3
657745,1976,4
651866,1976,5
644604,1976,6
642694,1976,7
659720,1976,8
661444,1976,9
662493,1976,10
676562,1976,11
664252,1976,12
642034,1976,13
625981,1976,14
628835,1976,15
617148,1976,16
604604,1976,17
595986,1976,18
570534,1976,19
547349,1976,20
531950,1976,21
525642,1976,22
531498,1976,23
512499,1976,24
498870,1976,25
505023,1976,26
537478,1976,27
514095,1976,28
479936,1976,29
500986,1976,30
487185,1976,31
472070,1976,32
441390,1976,33
395437,1976,34
485398,1976,35
402622,1976,36
369675,1976,37
420585,1976,38
479704,1976,39
472738,1976,40
466365,1976,41
490211,1976,42
489496,1976,43
478459,1976,44
493548,1976,45
473478,1976,46
465206,1976,47
451896,1976,48
445087,1976,49
438593,1976,50
429002,1976,51
420457,1976,52
422417,1976,53
406565,1976,54
388316,1976,55
353775,1976,56
331451,1976,57
321970,1976,58
311335,1976,59
317023,1976,60
317425,1976,61
312131,1976,62
311530,1976,63
301933,1976,64
307795,1976,65
291462,1976,66
277914,1976,67
267868,1976,68
254062,1976,69
250978,1976,70
